compound_id,compound_name_raw,compound_name_normalized,pubchem_cid,molecular_formula,molecular_weight,smiles,inchikey,iupac_name,xlogp,tpsa,dtxsid,dtxcid,logd55,logd74,ready_bio_deg,kegg_ids,kegg_names,kegg_pathways,chembl_ids
CMPD_0000477491EB,feruloyl tyramine,feruloyl tyramine,,,,,,,,,,,,,,,,,
CMPD_0014FAD81DFD,oenin,oenin,,,,,,,,,,,,,,,,,
CMPD_0016CCD8E311,scabiostellatoside B,scabiostellatoside b,12921515,C22H25Br2O4P,544.2,CC(COP(=O)(C(O)/C(=C/C1=CC=CC=C1)/Br)C(O)/C(=C/C2=CC=CC=C2)/Br)C,CQUKVMFTKCKYIR-AXPXABNXSA-N,(Z)-2-bromo-1-[[(Z)-2-bromo-1-hydroxy-3-phenylprop-2-enyl]-(2-methylpropoxy)phosphoryl]-3-phenylprop-2-en-1-ol,4.9,66.8,,,,,,,,,
CMPD_00242CA438FA,11-keto-β-boswellic acid,11 keto β boswellic acid,,,,,,,,,,,,,,,,,
CMPD_002B15F423F6,"16-epoxy-9-hydroxy-labda-13(16),14-diene","16 epoxy 9 hydroxy labda 13(16),14 diene",10115040,C20H23NO7S2,453.5,C1COCCC1(C(=O)NO)S(=O)(=O)C2=CC=C(C=C2)OCCCC(=O)C3=CC=CS3,RMFWQBGAGAXCQC-UHFFFAOYSA-N,N-hydroxy-4-[4-(4-oxo-4-thiophen-2-ylbutoxy)phenyl]sulfonyloxane-4-carboxamide,1.9,156,,,,,,,,,
CMPD_003C4FB43316,1-[1-Methyl-1-(-cyclohex-3-enyl)-ethyl]-1H-pyrrole,1 [1 methyl 1 ( cyclohex 3 enyl) ethyl] 1h pyrrole,,,,,,,,,,,,,,,,,
CMPD_003C927A722F,alloeudesmenol,alloeudesmenol,,,,,,,,,,,,,,,,,
CMPD_003F6EA7728C,4-O-CQA,4 o cqa,9798666,C16H18O9,354.31,C1[C@H](C([C@@H](CC1(C(=O)O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O,GYFFKZTYYAFCTR-AVXJPILUSA-N,"trans-(3R,5R)-4-[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy-1,3,5-trihydroxycyclohexane-1-carboxylic acid",-0.4,165,DTXSID001372321,DTXCID701850481,,,,,,,
CMPD_004AC0A6CBCF,matairesinol,matairesinol,119205,C20H22O6,358.4,COC1=C(C=CC(=C1)C[C@H]2COC(=O)[C@@H]2CC3=CC(=C(C=C3)O)OC)O,MATGKVZWFZHCLI-LSDHHAIUSA-N,"(3R,4R)-3,4-bis[(4-hydroxy-3-methoxyphenyl)methyl]oxolan-2-one",3.3,85.2,DTXSID40920490,DTXCID301349397,"1,87","1,85",0.0,,,,CHEMBL425148
CMPD_005856946616,Zn,zn,23994,Zn,65.4,[Zn],HCHKCACWOHOZIP-UHFFFAOYSA-N,zinc,,0,DTXSID7035012,DTXCID004384,,,,,,,
CMPD_0066C3AC0318,Roburins D,roburins d,10091881,C19H22ClN3O4,391.8,COC1=C(C=C(C=C1)CCNC(=O)CNC2=C(C=CC(=C2)Cl)C(=O)N)OC,HIFIMKOUMQSRKJ-UHFFFAOYSA-N,"4-chloro-2-[[2-[2-(3,4-dimethoxyphenyl)ethylamino]-2-oxoethyl]amino]benzamide",3.2,103,,,,,,,,,
CMPD_0066C3AC0318,Roburins D,roburins d,101998420,C82H50O51,1851.2,C1[C@@H]2[C@H]([C@H]3[C@@H]4[C@H](C5=C(C(=C(C(=C5C(=O)O4)C6=C(C(=C(C(=C6C(=O)O3)C7=C(C(=C(C=C7C(=O)O2)O)O)O)O)O)O)O)O)O)C8=C(C(=C(C9=C8C(=O)OC[C@@H]2[C@H]([C@H]3[C@@H]4[C@H](C5=C(C(=C(C(=C5C(=O)O4)C4=C(C(=C(C(=C4C(=O)O3)C3=C(C(=C(C=C3C(=O)O2)O)O)O)O)O)O)O)O)O)O)OC(=O)C2=CC(=C(C(=C29)O)O)O)O)O)O)OC(=O)C2=CC(=C(C(=C2C2=C(C(=C(C=C2C(=O)O1)O)O)O)O)O)O,QTCMAUFCWPWEDU-XAOVTHGKSA-N,"(1R,2R,20R,42S,46S)-7,8,9,12,13,14,25,26,27,30,31,32,35,36,37,46-hexadecahydroxy-15-[(1R,2R,20R,42S,46S)-7,8,9,12,13,14,25,26,27,30,31,32,35,36,37-pentadecahydroxy-4,17,22,40,44-pentaoxo-3,18,21,41,43-pentaoxanonacyclo[27.13.3.138,42.02,20.05,10.011,16.023,28.033,45.034,39]hexatetraconta-5,7,9,11,13,15,23,25,27,29(45),30,32,34(39),35,37-pentadecaen-46-yl]-3,18,21,41,43-pentaoxanonacyclo[27.13.3.138,42.02,20.05,10.011,16.023,28.033,45.034,39]hexatetraconta-5,7,9,11(16),12,14,23,25,27,29(45),30,32,34(39),35,37-pentadecaene-4,17,22,40,44-pentone",2.5,890,,,,,,,,,
CMPD_00763E24CFF9,p-Cymen-7-ol,p cymen 7 ol,125203,C5H14N3O7PS,291.22,C(C[C@H](C(=O)O)N)CNP(=O)(O)OS(=O)(=O)N,LNALGAKWYMMOEZ-SCSAIBSYSA-N,(2R)-2-amino-5-[[hydroxy(sulfamoyloxy)phosphoryl]amino]pentanoic acid,-5.3,190,DTXSID60983986,,,,,,,,
CMPD_0077FA216F22,α-guaiene,α guaiene,643107,C7H10O2,126.15,CC(=O)[C@@H]1CCCC1=O,OSWDNIFICGLKEE-LURJTMIESA-N,(2S)-2-acetylcyclopentan-1-one,0.3,34.1,,,,,,,,,
CMPD_007823A683D6,dihydrovallesiachotamine,dihydrovallesiachotamine,5365002,C21H24N2O3,352.4,C/C=C(\CO)/C1CC2C3=C(CCN2C=C1C(=O)OC)C4=CC=CC=C4N3,FRUFGLJBMBUARK-QLKAYGNNSA-N,"methyl 2-[(Z)-1-hydroxybut-2-en-2-yl]-1,2,6,7,12,12b-hexahydroindolo[2,3-a]quinolizine-3-carboxylate",2.8,65.6,,,,,,,,,
CMPD_0082A72AAC73,Stemmin C,stemmin c,11451554,C21H25NO5,371.4,CC(=O)NC/C(=C/C1=CC(=C(C(=C1)OC)OC)OC)/C2=CC=C(C=C2)OC,OAZLNZIFFMSGET-YVLHZVERSA-N,"N-[(E)-2-(4-methoxyphenyl)-3-(3,4,5-trimethoxyphenyl)prop-2-enyl]acetamide",3.4,66,,,,,,,,,
CMPD_0083E66DBD00,withaferin A,withaferin a,,,,,,,,,,,,,,,,,CHEMBL517080
CMPD_00860CF7BA25,3- o -rutinoside,3 o rutinoside,,,,,,,,,,,,,,,,,
CMPD_008CB9E826B0,Mesembrenol,mesembrenol,5318605,C18H18O5,314.3,COC1=CC2=C(CC(=CO2)C3=C(C(=C(C=C3)OC)OC)O)C=C1,POUQOQOXMNNBBR-UHFFFAOYSA-N,"2,3-dimethoxy-6-(7-methoxy-4H-chromen-3-yl)phenol",3.1,57.2,,,,,,,,,
CMPD_009790AD2BA2,kaempferol-3-beta-D-glucopyranosyl,kaempferol 3 beta d glucopyranosyl,,,,,,,,,,,,,,,,,
CMPD_009814501ACC,Rhamnose,rhamnose,25310,C6H12O5,164.16,C[C@H]1[C@@H]([C@H]([C@H](C(O1)O)O)O)O,SHZGCJCMOBCMKK-JFNONXLTSA-N,"(3R,4R,5R,6S)-6-methyloxane-2,3,4,5-tetrol",-2.1,90.2,DTXSID801019197,DTXCID501477194,"-2,53","-4,28",1.0,,,,CHEMBL5308434
CMPD_00984F777B3D,dillenetin,dillenetin,5487855,C17H14O7,330.29,COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)OC,MHALJYZRPGYQSI-UHFFFAOYSA-N,"2-(3,4-dimethoxyphenyl)-3,5,7-trihydroxychromen-4-one",2.2,105,DTXSID80186715,DTXCID20109206,"1,83","0,36",0.0,,,,
CMPD_009AD39057EA,trans-caryophyllene oxide,trans caryophyllene oxide,1742210,C15H24O,220.35,C[C@@]12CC[C@@H]3[C@H](CC3(C)C)C(=C)CC[C@H]1O2,NVEQFIOZRFFVFW-RGCMKSIDSA-N,"(1R,4R,6R,10S)-4,12,12-trimethyl-9-methylidene-5-oxatricyclo[8.2.0.04,6]dodecane",3.6,12.5,DTXSID4051586,DTXCID8030138,"5,09","5,09",0.0,,,,
