compound_id,file_name,file_path,file_type,match_method,match_score,source
CMPD_06E06118E7EE,1-2-benzenedicarboxylic_acid_bis-2-methylpropyl-ester.sdf,/structures/1-2-benzenedicarboxylic_acid_bis-2-methylpropyl-ester.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_2916DD23977F,1-8-cineole.sdf,/structures/1-8-cineole.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_486AAE65AFC0,1-_4-hydroxyphenyl_propane-1_2-diol.sdf,/structures/1-_4-hydroxyphenyl_propane-1_2-diol.sdf,sdf,fuzzy_normalized_name,0.893,local_sdf_library
CMPD_01042129FEEA,1-_4-isopropylbenzyl_-1_3-dihydrobenzimidazol-2-one.sdf,/structures/1-_4-isopropylbenzyl_-1_3-dihydrobenzimidazol-2-one.sdf,sdf,fuzzy_normalized_name,0.955,local_sdf_library
CMPD_2B6C1AFBFB85,1-_hydroxymethyl_-6_7-dimethoxyisoquinoline_2-oxide.sdf,/structures/1-_hydroxymethyl_-6_7-dimethoxyisoquinoline_2-oxide.sdf,sdf,fuzzy_normalized_name,0.977,local_sdf_library
CMPD_F68469F82120,1-allyl-2_3_4_5-tetramethoxybenzene.sdf,/structures/1-allyl-2_3_4_5-tetramethoxybenzene.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_25EAB3851736,1-alpha-terpineol.sdf,/structures/1-alpha-terpineol.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_71E244128A73,1-beta-Acetoxyfuranoeudesm-4-ene.sdf,/structures/1-beta-Acetoxyfuranoeudesm-4-ene.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_9626DB05E032,1-dodecanol.sdf,/structures/1-dodecanol.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_88358D660260,1-feruloyl-β-D-glucopyranoside.sdf,/structures/1-feruloyl-β-D-glucopyranoside.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_2BD8F80E14E3,1-heptadecene.sdf,/structures/1-heptadecene.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_4A3669D650B1,1-hexadecanol.sdf,/structures/1-hexadecanol.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_4F5D9CB72363,1-hydroxy-2-oxopomolic_acid.sdf,/structures/1-hydroxy-2-oxopomolic_acid.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_C119E9293455,1-hydroxypinoresinol.sdf,/structures/1-hydroxypinoresinol.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_1001AA5E9522,1-isocyano-4-methyl_benzene.sdf,/structures/1-isocyano-4-methyl_benzene.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_25E81FECBE85,1-methyl-1-cyclopentanol.sdf,/structures/1-methyl-1-cyclopentanol.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_F089BC59E4D4,1-methyl-3-propylbenzene.sdf,/structures/1-methyl-3-propylbenzene.sdf,sdf,fuzzy_normalized_name,0.933,local_sdf_library
CMPD_529E302F229D,1-Naphthol.sdf,/structures/1-Naphthol.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_171BDE7C7FC5,1-O-beta-D-Glucopyranosyl-3_5-dimethoxybenzene.sdf,/structures/1-O-beta-D-Glucopyranosyl-3_5-dimethoxybenzene.sdf,sdf,fuzzy_normalized_name,0.987,local_sdf_library
CMPD_D889E0B3ACC5,1-O-lauroyl-glycerol.sdf,/structures/1-O-lauroyl-glycerol.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_0A677EE1ADC1,1-octen-3-ol.sdf,/structures/1-octen-3-ol.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_DA61F1700B66,1-Pentadecene.sdf,/structures/1-Pentadecene.sdf,sdf,fuzzy_normalized_name,0.917,local_sdf_library
CMPD_068DDCC2BE41,1-piperoylpiperidine.sdf,/structures/1-piperoylpiperidine.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_9BEE14FC4E01,10-deacetylbaccatin_III.sdf,/structures/10-deacetylbaccatin_III.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_50CEBBE75DA1,10-epi-gamma-eudesmol.sdf,/structures/10-epi-gamma-eudesmol.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_807E539F3F19,10-epi-α-Cadinol.sdf,/structures/10-epi-α-Cadinol.sdf,sdf,fuzzy_normalized_name,0.938,local_sdf_library
CMPD_ED4F6F6410CC,10-epigazaniolide.sdf,/structures/10-epigazaniolide.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_C5B9F30381F8,10-ethyl-8-phenyl-9H-pyrrolo_3_4_3_4_pyrrolo_2_1-a_phthalazine-9_11_10H_-dione.sdf,/structures/10-ethyl-8-phenyl-9H-pyrrolo_3_4_3_4_pyrrolo_2_1-a_phthalazine-9_11_10H_-dione.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_8AFD9928F79A,10-HDA.sdf,/structures/10-HDA.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_5CD08C681E4C,10-Hydroxylancerodiol_6-benzoate.sdf,/structures/10-Hydroxylancerodiol_6-benzoate.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_D4AC20514330,10-methylsulphinyl-decanenitrile.sdf,/structures/10-methylsulphinyl-decanenitrile.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_21148E5CED74,10-Oxojaeschkeanadiol_6-anisate.sdf,/structures/10-Oxojaeschkeanadiol_6-anisate.sdf,sdf,fuzzy_normalized_name,0.982,local_sdf_library
CMPD_3C7D97383332,10-Oxolupanine.sdf,/structures/10-Oxolupanine.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_64E8CB6F8A70,10007.sdf,/structures/10007.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_34C12225DA32,1001.sdf,/structures/1001.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_ECF3F9762E36,10031482.sdf,/structures/10031482.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_ACDF7DD1475F,10091396.sdf,/structures/10091396.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_1EDCF06D5113,100918.sdf,/structures/100918.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_B4E799F31498,100927727.sdf,/structures/100927727.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_8EBDC56E9695,10100906.sdf,/structures/10100906.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_1DFA88F9D00E,101037563.sdf,/structures/101037563.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_8ED25A7BBC10,101044443.sdf,/structures/101044443.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_EB3AD4532963,101235129.sdf,/structures/101235129.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_02440644F835,101287955.sdf,/structures/101287955.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_B41CECAC952C,10133609.sdf,/structures/10133609.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_1D1FCF7F7C4F,101374523.sdf,/structures/101374523.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_F22E655D4F20,101416738.sdf,/structures/101416738.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_39AD180F0CCB,101416757.sdf,/structures/101416757.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_AA7860EBC47C,10141695.sdf,/structures/10141695.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_A741B5BD24A5,101419.sdf,/structures/101419.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_E6824F2148CC,101458474.sdf,/structures/101458474.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
